Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Bwd Act Data Pkts,Fwd Seg Size Min,Bwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Fwd TCP Retrans. Count,Bwd TCP Retrans. Count,Total TCP Retrans. Count,Total Connection Flow Time,Label
192.168.15.12-192.168.0.1-54792-53-17,192.168.15.12,54792,192.168.0.1,53,17,2024-04-09 08:55:23.793940,26,2,0,50.0,0.0,25.0,25.0,25.0,0.0,0,0,0,0,1923076.9230769232,76923.07692307692,26.0,0.0,26.0,26.0,26.0,26.0,0.0,26.0,26.0,0,0,0,0,0,0,0,0,0,0,0,16,0,76923.07692307692,0.0,25.0,25.0,25.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,26,normal
192.168.15.12-192.168.15.11-33610-9092-6,192.168.15.12,33610,192.168.15.11,9092,6,2024-04-09 09:00:29.636330,1848,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1623.3766233766235,924.0,750.9474016201135,1455.0,393.0,1848.0,1848.0,0.0,1848.0,1848.0,0,0,0,0,0,0,0,0,0,0,0,64,32,1082.2510822510822,541.1255411255411,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31607,32768,0,0,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,543592020,normal
192.168.15.12-192.168.15.11-48426-9092-6,192.168.15.12,48426,192.168.15.11,9092,6,2024-04-09 08:51:00.406165,8781,7,5,87.0,519.0,57.0,0.0,12.428571428571427,22.611627855723132,446.0,0.0,103.8,193.88965934262714,69012.64092927912,1366.586949094636,798.2727272727273,530.2610849212095,1379.0,83.0,8781.0,1463.5,626.1104535143938,2671.0,849.0,7398.0,1849.5,703.3086093600731,2615.0,915.0,2,2,0,0,0,0,232,168,797.1757203052043,569.4112287894317,0.0,446.0,50.49999999999999,127.13307273018373,16162.818181818184,2,2,0,4,11,0,0,0,0.7142857142857143,50.5,12.428571428571429,103.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,65535,2,2,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,8781,normal
192.168.15.12-192.168.3.1-50968-1883-6,192.168.15.12,50968,192.168.3.1,1883,6,2024-04-09 08:51:31.255612,351331,6,4,99.0,9.0,53.0,0.0,16.5,25.657357619209346,5.0,0.0,2.25,2.6299556396765835,307.40242107869784,28.463187136916467,39036.77777777778,99250.85089657642,301130.0,23.0,351331.0,70266.2,130378.74137757275,301130.0,698.0,307146.0,102382.0,174989.82873584397,304437.0,23.0,2,2,0,0,0,0,200,136,17.07791228214988,11.385274854766587,0.0,53.0,10.8,20.546965171960984,422.17777777777775,0,2,0,4,9,0,0,0,0.6666666666666666,10.8,16.5,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,2,2,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,351331,normal
192.168.15.12-192.168.2.1-56736-1883-6,192.168.15.12,56736,192.168.2.1,1883,6,2024-04-09 09:01:44.457057,98096007,112,112,0.0,6458.0,0.0,0.0,0.0,0.0,287.0,53.0,57.66071428571428,27.002353441451934,65.83346455681932,2.283477246938298,439892.40807174897,2426934.841985885,2.4021439E7,23.0,9.8095912E7,883746.954954955,3390025.4194116397,2.4021959E7,1445.0,9.8095931E7,883747.1261261262,3390022.0957205845,2.402217E7,1516.0,0,112,0,0,0,0,3608,3584,1.141738623469149,1.141738623469149,0.0,287.0,28.830357142857142,34.60990510981562,1197.8455317104413,0,0,0,112,224,0,0,0,1.0,28.830357142857142,0.0,57.660714285714285,0.0,0.0,0.0,1170.4,20.6,300.23931926326645,9.333333333333334,0.0,9.333333333333334,538.1666666666666,0,509,0,112,0,32,7525212.499999999,1.5049469001692174E7,3.0099416E7,183.0,1.699877025E7,7604232.114730822,2.4021439E7,6183815.0,-1,-1,2,1,3,730088344,normal
192.168.15.12-192.168.0.1-57228-53-17,192.168.15.12,57228,192.168.0.1,53,17,2024-04-09 09:07:57.770360,59,2,0,50.0,0.0,25.0,25.0,25.0,0.0,0,0,0,0,847457.6271186441,33898.30508474576,59.0,0.0,59.0,59.0,59.0,59.0,0.0,59.0,59.0,0,0,0,0,0,0,0,0,0,0,0,16,0,33898.30508474576,0.0,25.0,25.0,25.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,59,normal
192.168.15.13-192.168.15.12-36982-8083-6,192.168.15.13,36982,192.168.15.12,8083,6,2024-04-09 08:51:10.622598,16622,6,4,638.0,787.0,638.0,0.0,106.33333333333333,260.46240931594457,787.0,0.0,196.75,393.49999999999994,85729.75574539766,601.6123210203344,1846.8888888888891,4507.615235477748,13845.0,40.0,16622.0,3324.4,6456.378303662202,14863.0,40.0,15924.0,5308.0,7406.015595446717,13845.0,605.0,1,1,0,0,0,0,200,136,360.9673926122007,240.64492840813378,0.0,787.0,142.5,302.462210679101,91483.38888888889,2,2,0,2,9,0,0,0,0.6666666666666666,142.5,106.33333333333333,196.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,1,1,32,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,16622,normal
192.168.15.13-192.168.15.12-37170-8083-6,192.168.15.13,37170,192.168.15.12,8083,6,2024-04-09 08:51:29.745088,5850,6,4,632.0,781.0,632.0,0.0,105.33333333333334,258.0129195731614,781.0,0.0,195.25,390.49999999999994,241538.46153846153,1709.4017094017092,650.0,1480.7656803154239,4575.0,8.0,5850.0,1170.0,2144.523606771443,4984.0,8.0,5325.0,1775.0,2427.7405133168577,4575.0,257.0,1,1,0,0,0,0,200,136,1025.6410256410256,683.7606837606837,0.0,781.0,141.3,299.94964392192384,89969.78888888888,2,2,0,2,9,0,0,0,0.6666666666666666,141.3,105.33333333333333,195.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,1,1,32,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,5850,normal
192.168.15.12-192.168.15.11-54864-9092-6,192.168.15.12,54864,192.168.15.11,9092,6,2024-04-09 09:00:13.709586,788,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3807.1065989847716,394.0,367.6955262170047,654.0,134.0,788.0,788.0,0.0,788.0,788.0,0,0,0,0,0,0,0,0,0,0,0,64,32,2538.0710659898477,1269.0355329949239,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31607,32768,0,0,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,543909593,normal
192.168.15.12-192.168.15.11-54902-9092-6,192.168.15.12,54902,192.168.15.11,9092,6,2024-04-09 09:00:10.544728,2031,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1477.104874446086,1015.5,1322.9967876000305,1951.0,80.0,2031.0,2031.0,0.0,2031.0,2031.0,0,0,0,0,0,0,0,0,0,0,0,64,32,984.7365829640572,492.3682914820286,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31607,32768,0,0,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,540365165,normal
192.168.15.12-192.168.0.1-51520-53-17,192.168.15.12,51520,192.168.0.1,53,17,2024-04-09 08:54:07.437972,18,2,0,50.0,0.0,25.0,25.0,25.0,0.0,0,0,0,0,2777777.7777777775,111111.11111111111,18.0,0.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,0,0,0,0,0,0,0,0,0,0,0,16,0,111111.11111111111,0.0,25.0,25.0,25.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,18,normal
192.168.15.12-192.168.15.11-33948-9092-6,192.168.15.12,33948,192.168.15.11,9092,6,2024-04-09 09:07:50.336156,60036833,12,6,3240.0,372.0,540.0,0.0,270.0,282.0058026482305,62.0,62.0,62.0,0.0,60.16306689595036,0.29981594798646355,3531578.4117647065,5638066.700831234,1.2018578E7,60.0,6.0036833E7,5457893.909090909,6268611.176836579,1.2018578E7,1026.0,6.0035505E7,1.2007101E7,13761.967628213633,1.2020806E7,1.198586E7,6,6,0,0,0,0,384,192,0.19987729865764237,0.09993864932882118,0.0,540.0,200.66666666666666,248.27119896454786,61638.58823529412,0,0,0,12,18,0,0,0,0.5,200.66666666666666,270.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,648.0,1.2,74.4,31296,50470,6,6,32,0,1583.0,615.0528432582033,2532.0,1026.0,1.20052386E7,13558.50778293821,1.2018578E7,1.1984573E7,-1,-1,0,0,0,1032049492,normal
192.168.15.12-192.168.15.11-34442-9092-6,192.168.15.12,34442,192.168.15.11,9092,6,2024-04-09 09:00:42.545037,1967,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525.1652262328419,983.5,1158.9480143647513,1803.0,164.0,1967.0,1967.0,0.0,1967.0,1967.0,0,0,0,0,0,0,0,0,0,0,0,64,32,1016.7768174885613,508.38840874428064,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31607,32768,0,0,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,552423719,normal
192.168.15.13-192.168.15.12-36758-8083-6,192.168.15.13,36758,192.168.15.12,8083,6,2024-04-09 08:51:26.868670,17094,6,4,640.0,791.0,640.0,0.0,106.66666666666667,261.2789058968723,791.0,0.0,197.75,395.5,83713.5837135837,585.0005850005849,1899.3333333333333,5052.481494275857,15360.0,9.0,17094.0,3418.8,7006.022637702507,15941.0,9.0,16588.0,5529.333333333334,8513.679012820094,15360.0,579.0,1,1,0,0,0,0,200,136,351.000351000351,234.00023400023397,0.0,791.0,143.1,303.77347188690163,92278.32222222222,2,2,0,2,9,0,0,0,0.6666666666666666,143.1,106.66666666666667,197.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,1,1,32,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,17094,normal
192.168.15.12-192.168.2.1-54294-1883-6,192.168.15.12,54294,192.168.2.1,1883,6,2024-04-09 09:01:23.581172,115476093,123,123,0.0,6607.0,0.0,0.0,0.0,0.0,62.0,53.0,53.71544715447153,2.4175598224522363,57.21530602875523,2.1303110765966076,471330.9918367349,2141641.9951324784,1.8457569E7,32.0,1.15475791E8,946522.8770491804,2966105.918530628,1.8457655E7,502.0,1.15476005E8,946524.6311475409,2965821.725049951,1.8457645E7,515.0,0,123,0,0,0,0,3948,3936,1.0651555382983038,1.0651555382983038,0.0,62.0,26.857723577235767,26.966496244315962,727.1919196947069,0,0,0,123,246,0,0,0,1.0,26.857723577235774,0.0,53.71544715447155,0.0,0.0,0.0,1235.0,23.2,292.2304881252437,11.181818181818182,0.0,11.181818181818182,600.6363636363636,0,509,0,123,0,32,3925808.0,1.0386239397073884E7,2.7479585E7,76.0,1.2570764142857144E7,2840802.207004882,1.8457569E7,9054716.0,-1,-1,1,1,2,727740769,normal
192.168.15.12-192.168.15.11-33654-9092-6,192.168.15.12,33654,192.168.15.11,9092,6,2024-04-09 09:05:43.462135,982,2,1,110.0,130.0,110.0,0.0,55.0,77.78174593052023,130.0,130.0,130.0,0.0,244399.1853360489,3054.989816700611,491.0,616.5971131946694,927.0,55.0,982.0,982.0,0.0,982.0,982.0,0,0,0,0,0,1,1,0,0,0,0,64,32,2036.6598778004072,1018.3299389002036,0.0,130.0,80.0,70.0,4900.0,0,0,0,2,3,0,0,0,0.5,80.0,55.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31296,50470,1,1,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,850449974,normal
192.168.15.12-192.168.15.11-33738-9092-6,192.168.15.12,33738,192.168.15.11,9092,6,2024-04-09 09:00:49.771008,734,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4087.1934604904636,367.0,429.9209229614209,671.0,63.0,734.0,734.0,0.0,734.0,734.0,0,0,0,0,0,0,0,0,0,0,0,64,32,2724.7956403269754,1362.3978201634877,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31607,32768,0,0,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,563056146,normal
192.168.15.12-192.168.15.11-50766-9092-6,192.168.15.12,50766,192.168.15.11,9092,6,2024-04-09 09:05:40.352201,676,2,1,110.0,130.0,110.0,0.0,55.0,77.78174593052023,130.0,130.0,130.0,0.0,355029.5857988166,4437.869822485208,338.0,405.87929240107826,625.0,51.0,676.0,676.0,0.0,676.0,676.0,0,0,0,0,0,1,1,0,0,0,0,64,32,2958.579881656805,1479.2899408284025,0.0,130.0,80.0,70.0,4900.0,0,0,0,2,3,0,0,0,0.5,80.0,55.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31228,50470,1,1,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,820282601,normal
192.168.15.12-192.168.0.1-59244-53-17,192.168.15.12,59244,192.168.0.1,53,17,2024-04-09 09:03:17.337961,18,2,0,50.0,0.0,25.0,25.0,25.0,0.0,0,0,0,0,2777777.7777777775,111111.11111111111,18.0,0.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,0,0,0,0,0,0,0,0,0,0,0,16,0,111111.11111111111,0.0,25.0,25.0,25.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,18,normal
192.168.15.12-192.168.0.1-33747-53-17,192.168.15.12,33747,192.168.0.1,53,17,2024-04-09 09:01:06.929208,33,2,0,50.0,0.0,25.0,25.0,25.0,0.0,0,0,0,0,1515151.5151515151,60606.0606060606,33.0,0.0,33.0,33.0,33.0,33.0,0.0,33.0,33.0,0,0,0,0,0,0,0,0,0,0,0,16,0,60606.0606060606,0.0,25.0,25.0,25.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,33,normal
192.168.15.13-192.168.15.12-36524-8083-6,192.168.15.13,36524,192.168.15.12,8083,6,2024-04-09 08:51:25.279497,5895,6,4,640.0,791.0,640.0,0.0,106.66666666666667,261.2789058968723,791.0,0.0,197.75,395.5,242748.09160305344,1696.3528413910094,655.0,1576.9946100098123,4847.0,7.0,5895.0,1179.0,2248.6945101547253,5190.0,7.0,5630.0,1876.6666666666665,2572.437041665614,4847.0,375.0,1,1,0,0,0,0,200,136,1017.8117048346056,678.5411365564037,0.0,791.0,143.1,303.77347188690163,92278.32222222222,2,2,0,2,9,0,0,0,0.6666666666666666,143.1,106.66666666666667,197.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,1,1,32,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,5895,normal
